X,Y,method,covar,alternative,n,r,CI95%,p-unc,p-corr,p-adjust,r2
Yield_Mg_ha,Flow_pFloFla_4,spearman,['PRS200'],two-sided,94762,0.0016527116796393427,[-0.    0.01],0.6109257793709191,1.0,bonf,2.7314558960162975e-06
Yield_Mg_ha,CoverGreen_pGerEme,spearman,['PRS200'],two-sided,94762,0.0017986537252891064,[-0.    0.01],0.5797994662599133,1.0,bonf,3.23515522349638e-06
Yield_Mg_ha,SDR_pStGEnG_6,spearman,['PRS200'],two-sided,94762,0.0021847354869606005,[-0.    0.01],0.5012494938564178,1.0,bonf,4.773069147984972e-06
Yield_Mg_ha,Es_pEmeEnJ,spearman,['PRS200'],two-sided,94762,0.0022805335857765015,[-0.    0.01],0.48267007707485743,1.0,bonf,5.200833435854628e-06
Yield_Mg_ha,Flux_pFlwStG_9,spearman,['PRS200'],two-sided,94762,-0.0025507327311082443,[-0.01  0.  ],0.43234218799230695,1.0,bonf,6.506237465546923e-06
Yield_Mg_ha,FlowNO3_pStGEnG_1,spearman,['PRS200'],two-sided,94762,-0.0033617883922640373,[-0.01  0.  ],0.30073531200641157,1.0,bonf,1.1301621194361221e-05
Yield_Mg_ha,SDR_pEmeEnJ_5,spearman,['PRS200'],two-sided,94762,-0.0038390907528827608,[-0.01  0.  ],0.23729037938309294,1.0,bonf,1.4738617808869923e-05
Yield_Mg_ha,Flux_pStGEnG_1,spearman,['PRS200'],two-sided,94762,-0.003915175316955801,[-0.01  0.  ],0.22812305635655586,1.0,bonf,1.5328597762499956e-05
Yield_Mg_ha,Flow_pFlwStG_4,spearman,['PRS200'],two-sided,94762,0.004527260721975937,[-0.    0.01],0.16343001071519184,1.0,bonf,2.0496089644746086e-05
Yield_Mg_ha,Flow_pEmeEnJ_2,spearman,['PRS200'],two-sided,94762,-0.0046151719241010174,[-0.01  0.  ],0.15540693736239025,1.0,bonf,2.1299811889010286e-05
Yield_Mg_ha,Flow_pEnJFlo_6,spearman,['PRS200'],two-sided,94762,-0.005250792698196469,[-0.01  0.  ],0.10601741783858284,1.0,bonf,2.757082395943336e-05
Yield_Mg_ha,Flow_pEnGMat_5,spearman,['PRS200'],two-sided,94762,-0.005272757427636028,[-0.01  0.  ],0.1045643378845227,1.0,bonf,2.78019708906909e-05
Yield_Mg_ha,PAWmm_pEnJFlo_1,spearman,['PRS200'],two-sided,94762,-0.005380143830520724,[-0.01  0.  ],0.09768646717017207,1.0,bonf,2.8945947637090206e-05
Yield_Mg_ha,Flow_pFloFla_9,spearman,['PRS200'],two-sided,94762,-0.006523737638349454,[-0.01 -0.  ],0.04462045469963737,1.0,bonf,4.255915277401731e-05
Yield_Mg_ha,Runoff_pMatHar,spearman,['PRS200'],two-sided,94762,0.00663654364119803,[0.   0.01],0.04105827855935934,1.0,bonf,4.404371150152601e-05
Yield_Mg_ha,Flow_pFlwStG_2,spearman,['PRS200'],two-sided,94762,0.007167316443114549,[0.   0.01],0.027360626710370043,1.0,bonf,5.13704249957402e-05
Yield_Mg_ha,Flux_pGerEme_1,spearman,['PRS200'],two-sided,94762,0.00748972104567474,[0.   0.01],0.021133926026870656,1.0,bonf,5.6095921342023126e-05
Yield_Mg_ha,Flux_pMatHar_1,spearman,['PRS200'],two-sided,94762,0.007787666416730694,[0.   0.01],0.016516238423790866,1.0,bonf,6.064774821827508e-05
Yield_Mg_ha,Es_pFloFla,spearman,['PRS200'],two-sided,94762,0.008015453821485786,[0.   0.01],0.013608825141706587,1.0,bonf,6.424749996437109e-05
Yield_Mg_ha,Flux_pFlaFlw_9,spearman,['PRS200'],two-sided,94762,-0.008115148071374912,[-0.01 -0.  ],0.012485515488701164,1.0,bonf,6.585562822033995e-05
Yield_Mg_ha,SDR_pStGEnG_4,spearman,['PRS200'],two-sided,94762,0.008343877978920016,[0.   0.01],0.010213095939568794,1.0,bonf,6.962029972710636e-05
Yield_Mg_ha,Flow_pEnJFlo_3,spearman,['PRS200'],two-sided,94762,0.008769345886163148,[0.   0.02],0.00694420606227135,1.0,bonf,7.690142727116651e-05
Yield_Mg_ha,Flow_pMatHar_9,spearman,['PRS200'],two-sided,94762,0.009162103412749225,[0.   0.02],0.004796121225455948,1.0,bonf,8.394413894591099e-05
Yield_Mg_ha,Runoff_pFloFla,spearman,['PRS200'],two-sided,94762,0.00941754111435469,[0.   0.02],0.003742909161700351,1.0,bonf,8.869008064056098e-05
Yield_Mg_ha,biomass_pEmeEnJ,spearman,['PRS200'],two-sided,94762,0.009894301865912239,[0.   0.02],0.002320432419360017,0.7587814011307256,bonf,9.789720941379441e-05
Yield_Mg_ha,Flux_pFloFla_5,spearman,['PRS200'],two-sided,94762,-0.010752976925596562,[-0.02 -0.  ],0.0009323917455215648,0.3048921007855517,bonf,0.00011562651276241209
