Env,Hybrid,Yield_Mg_ha
ILH1_2022,B14A/OH43,10.190545673297873
ILH1_2022,B37/H95,9.822159675068919
ILH1_2022,B73/MO17,11.26529793832421
ILH1_2022,B73/PHK76,11.501508695449374
ILH1_2022,B73/PHN82,12.206263718941855
ILH1_2022,B73/PHZ51,11.993599927746518
ILH1_2022,B73/TX779,11.356632974947402
ILH1_2022,B97/LH244,10.447324263024086
ILH1_2022,BGEM-0039-N/LH244,10.675429651340275
ILH1_2022,BGEM-0063-N/LH244,10.624518742979808
ILH1_2022,BGEM-0089-N/LH244,9.494326756504664
ILH1_2022,BGEM-0124-N/LH244,10.767497247301629
ILH1_2022,BGEM-0129-N/LH244,11.153111255294505
ILH1_2022,CG119/CG108,6.89530920996976
ILH1_2022,CG44/CGR01,11.51662092219505
ILH1_2022,DK3IIH6/LH244,8.807117571291968
ILH1_2022,DK78010/LH244,11.367404963517059
ILH1_2022,GEMN-0096/LH244,10.014954805427978
ILH1_2022,GEMN-0096_LH212HT_0001/LH244,10.696934797276285
ILH1_2022,GEMN-0096_LH212HT_0004/LH244,10.351748912524
ILH1_2022,GEMN-0096_LH212HT_0005/LH244,10.929785562965591
ILH1_2022,GEMN-0096_LH212HT_0006/LH244,10.731069359996743
ILH1_2022,GEMN-0096_LH212HT_0009/LH244,10.785587711478243
ILH1_2022,GEMN-0096_LH212HT_0010/LH244,10.698128654532104
ILH1_2022,GEMN-0096_LH212HT_0011/LH244,10.760874301232112
ILH1_2022,GEMN-0096_LH212HT_0012/LH244,10.498965603112904
ILH1_2022,GEMN-0096_LH212HT_0013/LH244,10.565178435599002
ILH1_2022,GEMN-0096_LH212HT_0017/LH244,10.621116374833784
ILH1_2022,GEMN-0096_LH212HT_0021/LH244,10.52023978296676
ILH1_2022,GEMN-0096_PHJ89_0001/LH244,9.871108169917127
ILH1_2022,GEMN-0096_PHJ89_0002/LH244,10.741117897081622
ILH1_2022,GEMN-0096_PHJ89_0006/LH244,10.21120829225004
ILH1_2022,GEMN-0096_PHJ89_0007/LH244,11.118408782842023
ILH1_2022,GEMN-0096_PHJ89_0009/LH244,10.64871245564366
ILH1_2022,GEMN-0096_PHJ89_0010/LH244,10.850904221131797
ILH1_2022,GEMN-0096_PHJ89_0011/LH244,11.055593020083693
